Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Pumila	No	Pumila_6	40	Left	44.19
Pumila	No	Pumila_6	50	Left	42.1
Pumila	No	Pumila_6	60	Left	40.03
Pumila	No	Pumila_6	70	Left	42.2
Pumila	No	Pumila_6	80	Left	42.53
Pumila	No	Pumila_6	90	Left	45
Pumila	No	Pumila_6	100	Left	47.7
Pumila	No	Pumila_6	110	Left	48.2
Pumila	No	Pumila_6	120	Left	50.4
Pumila	No	Pumila_6	130	Left	54.8
Pumila	No	Pumila_6	140	Left	57.82
Pumila	No	Pumila_6	150	Left	57.05
Pumila	No	Pumila_6	160	Left	57
Pumila	No	Pumila_6	170	Left	54.16
Pumila	No	Pumila_7	0	Left	62.94
Pumila	No	Pumila_7	10	Left	63.82
Pumila	No	Pumila_7	20	Left	66.02
Pumila	No	Pumila_7	30	Left	70.84
Pumila	No	Pumila_7	40	Left	65.96
Pumila	No	Pumila_7	50	Left	70
Pumila	No	Pumila_7	60	Left	82.99
Pumila	No	Pumila_7	70	Left	80.78
Pumila	No	Pumila_7	80	Left	84.24
Pumila	No	Pumila_7	90	Left	76.07
Pumila	No	Pumila_7	100	Left	67.53
Pumila	No	Pumila_7	110	Left	62.48
Pumila	No	Pumila_7	120	Left	56.91
Pumila	No	Pumila_7	130	Left	49.9
Pumila	No	Pumila_7	140	Left	45.81
Pumila	No	Pumila_7	150	Left	47.1
Pumila	No	Pumila_7	160	Left	48.04
Pumila	No	Pumila_7	170	Left	45.56
Pumila	No	Pumila_8	0	Left	32.39
Pumila	No	Pumila_8	10	Left	41.57
Pumila	No	Pumila_8	20	Left	46.85
Pumila	No	Pumila_8	30	Left	56.39
Pumila	No	Pumila_8	40	Left	57.85
Pumila	No	Pumila_8	50	Left	60.55
Pumila	No	Pumila_8	60	Left	62.02
Pumila	No	Pumila_8	70	Left	66.64
Pumila	No	Pumila_8	80	Left	70.54
Pumila	No	Pumila_8	90	Left	76.2
Pumila	No	Pumila_8	100	Left	81.66
Pumila	No	Pumila_8	110	Left	81.06
Pumila	No	Pumila_8	120	Left	80.24
Pumila	No	Pumila_8	130	Left	76.9
Pumila	No	Pumila_8	140	Left	81.75
Pumila	No	Pumila_8	150	Left	73.89
Pumila	No	Pumila_8	160	Left	76.72
Pumila	No	Pumila_8	170	Left	75.09
Wendtii	No	Wendtii_pigment_1	0	Right	68.51
Wendtii	No	Wendtii_pigment_1	10	Right	47.06
Wendtii	No	Wendtii_pigment_1	20	Right	34
Wendtii	No	Wendtii_pigment_1	30	Right	15.58
Wendtii	No	Wendtii_pigment_1	40	Right	13.88
Wendtii	No	Wendtii_pigment_1	50	Right	28.27
Wendtii	No	Wendtii_pigment_1	60	Right	5.09
Wendtii	No	Wendtii_pigment_1	70	Right	5.4
Wendtii	No	Wendtii_pigment_1	80	Right	10.33
Wendtii	No	Wendtii_pigment_1	90	Right	10.96
Wendtii	No	Wendtii_pigment_1	100	Right	15.14
Wendtii	No	Wendtii_pigment_1	110	Right	17.88
Wendtii	No	Wendtii_pigment_1	120	Right	23.88
Wendtii	No	Wendtii_pigment_1	130	Right	14.71
Wendtii	No	Wendtii_pigment_1	140	Right	12.95
Wendtii	No	Wendtii_pigment_1	150	Right	9.46
Wendtii	No	Wendtii_pigment_1	160	Right	32.25
Wendtii	No	Wendtii_pigment_1	170	Right	28.35
Wendtii	No	Wendtii_pigment_2	0	Right	21.58
Wendtii	No	Wendtii_pigment_2	10	Right	28.56
Wendtii	No	Wendtii_pigment_2	20	Right	25.19
Wendtii	No	Wendtii_pigment_2	30	Right	26.64
Wendtii	No	Wendtii_pigment_2	40	Right	25.41
Wendtii	No	Wendtii_pigment_2	50	Right	29.86
Wendtii	No	Wendtii_pigment_2	60	Right	27.92
Wendtii	No	Wendtii_pigment_2	70	Right	32.59
Wendtii	No	Wendtii_pigment_2	80	Right	29.69
Wendtii	No	Wendtii_pigment_2	90	Right	28.95
Wendtii	No	Wendtii_pigment_2	100	Right	18.7
Wendtii	No	Wendtii_pigment_2	110	Right	32.5
Wendtii	No	Wendtii_pigment_2	120	Right	35.06
Wendtii	No	Wendtii_pigment_2	130	Right	36.94
Wendtii	No	Wendtii_pigment_2	140	Right	38.87
Wendtii	No	Wendtii_pigment_2	150	Right	41.68
Wendtii	No	Wendtii_pigment_2	160	Right	46.57
Wendtii	No	Wendtii_pigment_2	170	Right	43.69
Wendtii	No	Wendtii_pigment_3	0	Right	43.22
Wendtii	No	Wendtii_pigment_3	10	Right	39.41
Wendtii	No	Wendtii_pigment_3	20	Right	43.35
Wendtii	No	Wendtii_pigment_3	30	Right	39.69
Wendtii	No	Wendtii_pigment_3	40	Right	31.24
Wendtii	No	Wendtii_pigment_3	50	Right	33.87
Wendtii	No	Wendtii_pigment_3	60	Right	17.5
Wendtii	No	Wendtii_pigment_3	70	Right	18.8
Wendtii	No	Wendtii_pigment_3	80	Right	21.66
Wendtii	No	Wendtii_pigment_3	90	Right	18.48
Wendtii	No	Wendtii_pigment_3	100	Right	21.93
Wendtii	No	Wendtii_pigment_3	110	Right	21.77
Wendtii	No	Wendtii_pigment_3	120	Right	26.75
Wendtii	No	Wendtii_pigment_3	130	Right	28.59
Wendtii	No	Wendtii_pigment_3	140	Right	22.09
Wendtii	No	Wendtii_pigment_3	150	Right	24.91
Wendtii	No	Wendtii_pigment_3	160	Right	25.56
